
ANNUAL REVISION FOR 2003

PART B:      NOT SEASONALLY ADJUSTED

EXHIBIT 13.  EXPORTS, IMPORTS AND BALANCE OF GOODS BY SELECTED
             COUNTRIES AND GEOGRAPHIC AREAS, -- ANNUAL 2003

(In millions of dollars. Details may not equal totals due to rounding.
(-) Represents zero or less then half unit of measure.  (X) Not applicable.
 
                                   January - December, Cumulative
 
                                            Trade
              Country                      Balance                 Rank
Belgium                                          10,140.8                     24
Belize                                              101.4                    117
Benin                                                 0.6                    206
Bermuda                                              15.2                    147
Bhutan                                                0.5                    209
Bolivia                                             184.7                    104
Bosnia-Hercegovina                                   11.7                    159
Botswana                                             13.7                    151
Brazil                                           17,910.3                     14
British Indian Ocean Terr                             1.3                    199
British Virgin Islands                               35.0                    138
Brunei                                              422.5                     81
Bulgaria                                            441.3                     78
Burkina                                               0.9                    202
Burma (Myanmar)                                     275.7                     95
Burundi                                               5.9                    169
Cambodia                                          1,262.1                     63
Cameroon                                            214.0                    103
Canada                                          221,594.7                      1
Cape Verde                                            5.6                    171
Cayman Islands                                       11.8                    158
Central African Republic                              2.0                    192
Chad                                                 22.5                    144
Chile                                             3,705.4                     43
China                                           152,436.1                      2
Christmas Island                                      0.4                    212
Cocos (Keeling) Island                                0.2                    217
Colombia                                          6,385.1                     31
Comoros                                               4.0                    181
Congo (Brazzaville)                                 432.8                     79
Congo (Kinshasa)                                    174.5                    109
Cook Islands                                          3.0                    184
Costa Rica                                        3,364.2                     45
Cote d'Ivoire                                       489.5                     75
Croatia                                             180.6                    107
Cuba                                                  0.3                    213
Cyprus                                               24.8                    142
Czech Republic                                    1,393.9                     60
Denmark                                           3,708.4                     42
Djibouti                                              0.6                    205
Dominica                                              5.3                    173
Dominican Republic                                4,455.2                     38
East Timor                                            3.5                    182
Ecuador                                           2,722.0                     49
Egypt                                             1,143.0                     64
El Salvador                                       2,019.8                     56
Equatorial Guinea                                   903.5                     68
Eritrea                                               0.3                    216
Estonia                                             181.5                    106
Ethiopia                                             30.5                    140
Falkland Islands                                      5.1                    174
Faroe Islands                                        17.3                    146
Federal Republic of Germany                      68,112.7                      5
Fedrated States of Micronesia                        14.3                    149
Fiji                                                175.4                    108
Finland                                           3,602.3                     44
France                                           29,219.3                      9
French Guiana                                         3.4                    183
French Polynesia                                     48.0                    133
French Southern and Antarctic Lands                   0.1                    223
Gabon                                             1,969.5                     57
Gambia                                                0.1                    219
Gaza Strip Administered by Israel                     1.0                    200
Georgia                                              54.0                    131
Ghana                                                81.9                    121
Gibraltar                                             2.9                    185
Greece                                              614.0                     74
Greenland                                            13.8                    150
Grenada                                               7.6                    164
Guadeloupe                                            2.8                    186
Guatemala                                         2,946.8                     48
Guinea                                               69.2                    124
Guinea-Bissau                                         1.9                    193
Guyana                                              118.7                    115
Haiti                                               332.3                     90
Heard and McDonald Islands                            0.1                    222
Honduras                                          3,312.7                     46
Hong Kong                                         8,851.1                     27
Hungary                                           2,700.7                     50
Iceland                                             281.8                     94
India                                            13,055.3                     18
Indonesia                                         9,515.1                     26
Iran                                                161.3                    112
Iraq                                              4,584.5                     35
Ireland                                          25,746.5                     10
Israel                                           12,768.6                     19
Italy                                            25,414.2                     12
Jamaica                                             422.7                     80
Japan                                           118,036.6                      4
Jordan                                              673.5                     72
Kazakhstan                                          392.5                     83
Kenya                                               249.3                    100
Kiribati                                              1.8                    194
Korea, South                                     37,229.4                      7
Kuwait                                            2,276.9                     54
Kyrgyzstan                                           11.0                    160
Laos                                                  4.2                    178
Latvia                                              377.4                     87
Lebanon                                              92.3                    119
Lesotho                                             393.1                     82
Liberia                                              59.5                    128
Libya                                                  (-)                    (X)
Liechtenstein                                       261.9                     98
Lithuania                                           346.9                     89
Luxembourg                                          265.1                     96
Macao                                             1,355.8                     61
Macedonia (Skopje)                                   60.8                    127
Madagascar                                          383.7                     85
Malawi                                               76.5                    122
Malaysia                                         25,440.2                     11
Maldives                                             94.3                    118
Mali                                                  2.4                    190
Malta                                               372.8                     88
Marshall Islands                                     27.1                    141
Martinique                                            0.6                    208
Mauritania                                            0.9                    201
Mauritius                                           297.9                     93
Mayott                                                 (-)                   227
Mexico                                          138,060.0                      3
Moldova                                              42.9                    136
Monaco                                               21.6                    145
Mongolia                                            183.3                    105
Montserrat                                            1.3                    197
Morocco                                             385.2                     84
Mozambique                                            8.4                    163
Namibia                                             123.2                    114
Nauru                                                 0.3                    214
Nepal                                               171.4                    110
Netherlands                                      10,952.8                     21
Netherlands Antilles                                631.5                     73
New Caledonia                                        12.6                    156
New Zealand                                       2,403.1                     53
Nicaragua                                           769.7                     69
Niger                                                 4.0                    180
Nigeria                                          10,393.6                     23
Niue                                                  0.1                    220
Norfolk Island                                        1.6                    196
North Korea                                            (-)                   228
Norway                                            5,231.9                     32
Oman                                                694.7                     71
Pakistan                                          2,531.2                     51
Palau                                                 1.6                    195
Panama                                              301.4                     92
Papua New Guinea                                     66.1                    126
